,name,link,price,closest_town,region,total_len,easy_len,intermediate_len,difficult_len
174, Labrador Mountain ,https://www.skiresort.info/ski-resort/labrador-mountain/,61.0,Tully,Finger Lakes,17.0,6.0,6.0,5.0
175, Giants Ridge ,https://www.skiresort.info/ski-resort/giants-ridge/,58.0,Biwabik,Minnesota,12.0,4.0,5.0,3.0
176, Middlebury College Snow Bowl ,https://www.skiresort.info/ski-resort/middlebury-college-snow-bowl/,60.0,Hancock,Vermont,15.0,5.0,4.0,6.0
177, Pomerelle ,https://www.skiresort.info/ski-resort/pomerelle/,45.0,Malta,Idaho,15.0,4.0,7.0,4.0
178, Sipapu ,https://www.skiresort.info/ski-resort/sipapu/,55.0,Vadito,New Mexico,18.0,3.0,7.0,8.0
179, Catamount ,https://www.skiresort.info/ski-resort/catamount/,69.0,Great Barrington,Hudson Valley,15.0,8.0,4.0,3.0
180, Beech Mountain ,https://www.skiresort.info/ski-resort/beech-mountain/,70.0,Banner Elk,North Carolina,14.0,3.0,7.0,4.0
181, Sleeping Giant ,https://www.skiresort.info/ski-resort/sleeping-giant/,46.0,Cody,Wyoming,17.0,3.0,8.0,6.0
182, Dollar Mountain – Sun Valley ,https://www.skiresort.info/ski-resort/dollar-mountain-sun-valley/,139.0,N/A,Idaho,9.0,7.0,2.0,0.0
183, Whitetail ,https://www.skiresort.info/ski-resort/whitetail/,79.0,Mercersburg,Pennsylvania,10.2,1.5,5.6,3.1
184, Mt. Ashland ,https://www.skiresort.info/ski-resort/mt-ashland/,52.0,Ashland,Oregon,13.0,1.0,7.0,5.0
185, Shanty Creek Resorts – Schuss Mountain ,https://www.skiresort.info/ski-resort/shanty-creek-resorts-schuss-mountain/,73.0,Bellaire,Michigan,12.0,5.0,4.0,3.0
186, Kelly Canyon ,https://www.skiresort.info/ski-resort/kelly-canyon/,42.0,Ririe,Idaho,12.0,4.0,5.0,3.0
187, Jiminy Peak ,https://www.skiresort.info/ski-resort/jiminy-peak/,91.0,Hancock,Massachusetts,9.1,4.1,2.0,3.0
188, Song Mountain ,https://www.skiresort.info/ski-resort/song-mountain/,59.0,Tully,Finger Lakes,13.0,4.5,6.0,2.5
189, Crotched Mountain ,https://www.skiresort.info/ski-resort/crotched-mountain/,69.0,Keene,New Hampshire,8.0,2.5,4.0,1.5
190, Mt. Kato ,https://www.skiresort.info/ski-resort/mt-kato/,46.0,Mankato,Minnesota,12.0,2.5,4.5,5.0
191, Loup Loup Ski Bowl ,https://www.skiresort.info/ski-resort/loup-loup-ski-bowl/,50.0,Twisp,Washington State,11.0,3.0,5.0,3.0
192, White Pine – Pinedale ,https://www.skiresort.info/ski-resort/white-pine-pinedale/,49.0,Pinedale,Wyoming,11.6,3.7,2.6,5.3
193, Caberfae Peaks ,https://www.skiresort.info/ski-resort/caberfae-peaks/,59.0,Cadillac,Michigan,11.0,4.0,5.0,2.0
194, Tahoe Donner ,https://www.skiresort.info/ski-resort/tahoe-donner/,89.0,Truckee,Lake Tahoe,14.0,6.0,8.0,0.0
195, Big Powderhorn Mountain ,https://www.skiresort.info/ski-resort/big-powderhorn-mountain/,69.0,Bessemer,Michigan,10.0,3.5,3.5,3.0
196, Snow King Mountain – Jackson ,https://www.skiresort.info/ski-resort/snow-king-mountain-jackson/,59.0,Jackson,Wyoming,9.0,3.0,2.5,3.5
197, Bear Creek Mountain Resort ,https://www.skiresort.info/ski-resort/bear-creek-mountain-resort/,60.0,Allentown,Pennsylvania,10.0,3.0,4.0,3.0
198, Bromley Mountain ,https://www.skiresort.info/ski-resort/bromley-mountain/,91.0,Manchester,Vermont,45.0,15.0,18.0,12.0
199, Mt. Bohemia ,https://www.skiresort.info/ski-resort/mt-bohemia/,68.0,Mohawk,Michigan,13.0,0.0,3.0,10.0
200, Swain ,https://www.skiresort.info/ski-resort/swain/,59.0,Swain,Chautauqua-Allegheny,10.9,3.0,4.2,3.7
201, Suicide Six ,https://www.skiresort.info/ski-resort/suicide-six/,75.0,Woodstock,Vermont,10.5,3.5,4.0,3.0
202, Teton Pass ,https://www.skiresort.info/ski-resort/teton-pass/,50.0,Choteau,Montana,15.0,6.0,5.0,4.0
203, Meadowlark Ski Lodge ,https://www.skiresort.info/ski-resort/meadowlark-ski-lodge/,48.0,Ten Sleep,Wyoming,10.0,3.0,4.0,3.0
204, Cooper Spur ,https://www.skiresort.info/ski-resort/cooper-spur/,39.0,Hood River,Oregon,10.0,4.0,4.0,2.0
205, Oak Mountain ,https://www.skiresort.info/ski-resort/oak-mountain/,40.0,Speculator,The Adirondacks,12.0,6.0,4.0,2.0
206, Montage Mountain Resort ,https://www.skiresort.info/ski-resort/montage-mountain-resort/,67.0,Scranton,Pennsylvania,9.5,2.0,4.0,3.5
207, Whaleback ,https://www.skiresort.info/ski-resort/whaleback/,45.0,Enfield,New Hampshire,11.5,5.2,2.8,3.5
208, Soda Springs ,https://www.skiresort.info/ski-resort/soda-springs/,54.0,Truckee,Lake Tahoe,10.0,3.0,5.0,2.0
209, Mt. Waterman ,https://www.skiresort.info/ski-resort/mt-waterman/,60.0,La Cañada Flintridge,California,10.0,2.0,2.0,6.0
210, West Mountain ,https://www.skiresort.info/ski-resort/west-mountain/,79.0,Glens Falls,The Adirondacks,9.7,5.9,2.1,1.7
211, Spout Springs  (temporarily closed) ,https://www.skiresort.info/ski-resort/spout-springs/,35.0,Weston,Oregon,9.5,3.0,5.0,1.5
212, Pine Mountain ,https://www.skiresort.info/ski-resort/pine-mountain/,45.0,Iron Mountain,Michigan,9.5,2.5,5.5,1.5
213, Liberty Mountain ,https://www.skiresort.info/ski-resort/liberty-mountain/,77.0,Fairfield,Pennsylvania,9.0,3.0,4.0,2.0
214, Marquette Mountain ,https://www.skiresort.info/ski-resort/marquette-mountain/,54.0,Marquette,Michigan,10.0,1.5,5.0,3.5
215, Anthony Lakes Mountain Resort ,https://www.skiresort.info/ski-resort/anthony-lakes-mountain-resort/,40.0,Baker City,Oregon,10.0,2.0,3.8,4.2
216, Otsego – Gaylord ,https://www.skiresort.info/ski-resort/otsego-gaylord/,65.0,Gaylord,Michigan,7.0,3.0,2.0,2.0
217, Big Squaw ,https://www.skiresort.info/ski-resort/big-squaw/,30.0,Bangor,Maine,8.0,3.0,3.0,2.0
218, Mohawk Mountain ,https://www.skiresort.info/ski-resort/mohawk-mountain/,67.0,Cornwall,Connecticut,8.0,3.0,2.0,3.0
219, Bear Paw Ski Bowl ,https://www.skiresort.info/ski-resort/bear-paw-ski-bowl/,25.0,Havre,Montana,10.0,3.0,6.0,1.0
220, Big Bear at Masthope Mountain ,https://www.skiresort.info/ski-resort/big-bear-at-masthope-mountain/,64.0,Scranton,Pennsylvania,7.0,3.0,2.0,2.0
221, Bousquet ,https://www.skiresort.info/ski-resort/bousquet/,47.0,Pittsfield,Massachusetts,8.0,3.0,2.0,3.0
222, Alpine Mountain Ski & Snow Tubing Center  (temporarily closed) ,https://www.skiresort.info/ski-resort/alpine-mountain-ski-snow-tubing-center/,55.0,Henryville,Pennsylvania,8.0,2.0,4.0,2.0
223, Royal Mountain ,https://www.skiresort.info/ski-resort/royal-mountain/,45.0,Caroga Lake,Capital-Saratoga Region,7.5,2.5,3.0,2.0
224, Badger Pass ,https://www.skiresort.info/ski-resort/badger-pass/,62.0,Mariposa,California,10.0,3.5,5.0,1.5
225, Afton Alps ,https://www.skiresort.info/ski-resort/afton-alps/,58.0,Hastings,Minnesota,8.0,3.0,3.0,2.0
226, Massanutten ,https://www.skiresort.info/ski-resort/massanutten/,77.0,Massanutten,Virginia,8.0,2.0,3.5,2.5
227, Hesperus Ski Area ,https://www.skiresort.info/ski-resort/hesperus-ski-area/,39.0,Durango,Colorado,10.0,3.0,5.0,2.0
228, Spring Mountain ,https://www.skiresort.info/ski-resort/spring-mountain/,48.0,Schwenksville,Pennsylvania,8.5,4.0,2.5,2.0
229, Roundtop ,https://www.skiresort.info/ski-resort/roundtop/,73.0,Lewisberry,Pennsylvania,7.5,1.5,3.0,3.0
230, Mt. La Crosse ,https://www.skiresort.info/ski-resort/mt-la-crosse/,56.0,La Crosse,Wisconsin,7.0,1.5,3.0,2.5
231, Sitzmark ,https://www.skiresort.info/ski-resort/sitzmark/,45.0,Oroville,Washington State,7.5,2.0,3.0,2.5
232, Mt. Lemmon Ski Valley ,https://www.skiresort.info/ski-resort/mt-lemmon-ski-valley/,47.0,Summerhaven,Arizona,8.5,2.5,4.0,2.0
233, Laurel Mountain ,https://www.skiresort.info/ski-resort/laurel-mountain/,64.0,Jennerstown,Pennsylvania,8.0,4.0,3.0,1.0
234, Norway Mountain ,https://www.skiresort.info/ski-resort/norway-mountain/,N/A,Norway,Michigan,8.0,2.5,3.5,2.0
235, Black Mountain – Rumford ,https://www.skiresort.info/ski-resort/black-mountain-rumford/,45.0,Rumford,Maine,8.0,2.0,3.5,2.5
236, Alpine Valley Resort – Elkhorn ,https://www.skiresort.info/ski-resort/alpine-valley-resort-elkhorn/,66.0,Elkhorn,Wisconsin,4.0,1.5,1.5,1.0
237, Ski Brule ,https://www.skiresort.info/ski-resort/ski-brule/,55.0,Iron River,Michigan,7.5,2.0,4.0,1.5
238, Cataloochee ,https://www.skiresort.info/ski-resort/cataloochee/,70.0,Waynesville,North Carolina,6.0,1.5,3.0,1.5
239, Las Vegas Ski and Snowboard Resort – Lee Canyon ,https://www.skiresort.info/ski-resort/las-vegas-ski-and-snowboard-resort-lee-canyon/,72.0,Las Vegas,Nevada,7.3,0.3,5.0,2.0
240, Hogadon Ski Area ,https://www.skiresort.info/ski-resort/hogadon-ski-area/,N/A,Casper,Wyoming,5.0,1.9,1.6,1.5
241, McCauly Mountain ,https://www.skiresort.info/ski-resort/mccauly-mountain/,30.0,Old Forge,Central New York,9.0,3.0,4.0,2.0
242, Powder Ridge Mountain Park & Resort ,https://www.skiresort.info/ski-resort/powder-ridge-mountain-park-resort/,49.0,Middlefield,Connecticut,5.5,2.5,2.0,1.0
243, Camden Snow Bowl ,https://www.skiresort.info/ski-resort/camden-snow-bowl/,43.0,Camden,Maine,6.0,1.2,3.6,1.2
244, Mt. Southington ,https://www.skiresort.info/ski-resort/mt-southington/,60.0,Southington,Connecticut,5.8,2.0,3.0,0.8
245, Snow Trails ,https://www.skiresort.info/ski-resort/snow-trails/,52.0,Mansfield,Ohio,5.3,1.5,2.8,1.0
246, Mt. Eyak ,https://www.skiresort.info/ski-resort/mt-eyak/,30.0,Cordova,Alaska,5.0,1.0,2.0,2.0
247, Wolf Ridge ,https://www.skiresort.info/ski-resort/wolf-ridge/,65.0,Mars Hill,North Carolina,6.0,3.0,2.0,1.0
248, Alpine Valley – White Lake ,https://www.skiresort.info/ski-resort/alpine-valley-white-lake/,58.0,White Lake,Michigan,5.8,2.4,1.6,1.8
249, Hunt Hollow Ski Club ,https://www.skiresort.info/ski-resort/hunt-hollow-ski-club/,58.0,Naples,Finger Lakes,5.0,2.0,2.0,1.0
250, Paoli Peaks ,https://www.skiresort.info/ski-resort/paoli-peaks/,45.0,Paoli,Indiana,6.6,2.6,3.0,1.0
251, Mad River Mountain ,https://www.skiresort.info/ski-resort/mad-river-mountain/,49.0,Zanesfield,Ohio,6.3,3.0,2.0,1.3
252, Crystal Mountain (MI) ,https://www.skiresort.info/ski-resort/crystal-mountain-mi/,79.0,Thompsonville,Michigan,4.9,1.2,2.3,1.4
253, Nashoba Valley ,https://www.skiresort.info/ski-resort/nashoba-valley/,58.0,Westford,Massachusetts,5.8,1.0,3.0,1.8
254, Granite Gorge ,https://www.skiresort.info/ski-resort/granite-gorge/,30.0,Keene,New Hampshire,6.0,3.0,2.0,1.0
255, Bryce Resort ,https://www.skiresort.info/ski-resort/bryce-resort/,N/A,Harrisonburg,Virginia,5.0,2.0,2.8,0.2
256, King Pine – Purity Spring Resort ,https://www.skiresort.info/ski-resort/king-pine-purity-spring-resort/,58.0,East Madison,New Hampshire,5.3,2.8,1.5,1.0
257, Pine Knob ,https://www.skiresort.info/ski-resort/pine-knob/,57.0,Clarkston,Michigan,5.0,1.0,2.5,1.5
258, Pajarito Mountain ,https://www.skiresort.info/ski-resort/pajarito-mountain/,49.0,Los Alamos,New Mexico,26.0,8.0,12.0,6.0
259, Mont Ripley ,https://www.skiresort.info/ski-resort/mont-ripley/,52.0,Hancock,Michigan,6.9,2.0,2.2,2.7
260, Mount Pleasant ,https://www.skiresort.info/ski-resort/mount-pleasant/,38.0,Cambridge Springs,Pennsylvania,5.0,2.0,2.0,1.0
261, Quechee Lakes Ski Area ,https://www.skiresort.info/ski-resort/quechee-lakes-ski-area/,49.0,White River Junction,Vermont,5.0,2.0,2.5,0.5
262, Mountain High North ,https://www.skiresort.info/ski-resort/mountain-high-north/,84.0,Wrightwood,California,5.0,2.0,3.0,0.0
263, Hidden Valley (MO) ,https://www.skiresort.info/ski-resort/hidden-valley-mo/,49.0,Eureka,Missouri,4.0,1.0,2.0,1.0
264, Mt. Brighton ,https://www.skiresort.info/ski-resort/mt-brighton/,59.0,Brighton,Michigan,6.2,1.0,3.5,1.7
265, Mount Peter ,https://www.skiresort.info/ski-resort/mount-peter/,62.0,Warwick,Hudson Valley,3.8,1.0,2.0,0.8
266, Nordic Mountain ,https://www.skiresort.info/ski-resort/nordic-mountain/,47.0,Wild Rose,Wisconsin,6.5,2.0,3.0,1.5
267, Seven Oaks ,https://www.skiresort.info/ski-resort/seven-oaks/,40.0,Boone,Iowa,4.0,1.5,2.0,0.5
268, Ober Gatlinburg ,https://www.skiresort.info/ski-resort/ober-gatlinburg/,65.0,Gatlinburg,Tennessee,6.2,0.7,4.2,1.3
269, Wilmot Mountain ,https://www.skiresort.info/ski-resort/wilmot-mountain/,68.0,Wilmot,Wisconsin,4.0,1.4,1.6,1.0
270, Moose Mountain ,https://www.skiresort.info/ski-resort/moose-mountain/,40.0,Fairbanks,Alaska,25.0,3.0,12.0,10.0
271, Shanty Creek Resorts – Summit Mountain ,https://www.skiresort.info/ski-resort/shanty-creek-resorts-summit-mountain/,73.0,Bellaire,Michigan,4.0,0.8,2.5,0.7
272, Hilltop – Anchorage ,https://www.skiresort.info/ski-resort/hilltop-anchorage/,34.0,Anchorage,Alaska,5.0,4.0,1.0,0.0
273, Snowstar ,https://www.skiresort.info/ski-resort/snowstar/,35.0,Andalusia,Illinois,4.0,0.5,1.5,2.0
274, Mystic Mountain – Farmington ,https://www.skiresort.info/ski-resort/mystic-mountain-farmington/,43.0,Farmington,Pennsylvania,3.9,2.3,1.0,0.6
275, Mt. Ashwabay – Salmo ,https://www.skiresort.info/ski-resort/mt-ashwabay-salmo/,24.0,Salmo,Wisconsin,4.0,1.5,1.2,1.3
276, Snow Creek ,https://www.skiresort.info/ski-resort/snow-creek/,47.0,Weston,Missouri,3.2,1.3,1.8,0.1
277, Antelope Butte ,https://www.skiresort.info/ski-resort/antelope-butte/,20.0,Sheridan,Wyoming,20.0,4.0,10.0,6.0
278, Wild Mountain ,https://www.skiresort.info/ski-resort/wild-mountain/,56.0,Taylors Falls,Minnesota,4.8,1.1,1.6,2.1
279, Powder Ridge ,https://www.skiresort.info/ski-resort/powder-ridge/,48.0,Kimball,Minnesota,4.0,2.0,1.5,0.5
280, Treetops ,https://www.skiresort.info/ski-resort/treetops/,N/A,Gaylord,Michigan,4.4,0.3,1.9,2.2
281, Lost Valley ,https://www.skiresort.info/ski-resort/lost-valley/,55.0,Auburn,Maine,2.0,1.0,0.5,0.5
282, Summit Ski Area at Mt. Hood ,https://www.skiresort.info/ski-resort/summit-ski-area-at-mt-hood/,36.0,Governemt Camp,Oregon,4.0,2.0,2.0,0.0
283, Skeetawk – Hatcher Pass ,https://www.skiresort.info/ski-resort/skeetawk-hatcher-pass/,39.0,N/A,Alaska,2.5,1.0,0.8,0.7
284, Great Bear Ski Valley ,https://www.skiresort.info/ski-resort/great-bear-ski-valley/,29.0,Sioux Falls,South Dakota,3.8,2.6,1.2,0.0
285, Dartmouth Skiway ,https://www.skiresort.info/ski-resort/dartmouth-skiway/,50.0,Hanover,New Hampshire,16.0,4.0,8.0,4.0
286, McIntyre ,https://www.skiresort.info/ski-resort/mcintyre/,38.0,Manchester,New Hampshire,3.0,2.5,0.5,0.0
287, Stagecoach Mountain  (temporarily closed) ,https://www.skiresort.info/ski-resort/stagecoach-mountain/,N/A,N/A,Colorado,,,,
288, Elko Snobowl ,https://www.skiresort.info/ski-resort/elko-snobowl/,20.0,Elko,Nevada,3.0,1.5,1.5,0.0
289, Little Switzerland ,https://www.skiresort.info/ski-resort/little-switzerland/,46.0,Slinger,Wisconsin,3.0,1.1,1.3,0.6
290, Chester Bowl ,https://www.skiresort.info/ski-resort/chester-bowl/,15.0,Duluth,Minnesota,1.3,0.3,0.5,0.5
291, Blacktail Mountain ,https://www.skiresort.info/ski-resort/blacktail-mountain/,42.0,Kalispell,Montana,17.0,3.0,11.0,3.0
292, Otis Ridge ,https://www.skiresort.info/ski-resort/otis-ridge/,40.0,Otis,Massachusetts,3.7,1.2,1.5,1.0
293, Turner Mountain ,https://www.skiresort.info/ski-resort/turner-mountain/,38.0,Libby,Montana,13.8,2.1,5.5,6.2
294, Frost Fire Mountain ,https://www.skiresort.info/ski-resort/frost-fire-mountain/,37.0,Walhalla,North Dakota,1.5,0.7,0.6,0.2
295, Sawmill Mountain Resort ,https://www.skiresort.info/ski-resort/sawmill-mountain-resort/,44.0,Morris,Pennsylvania,4.4,0.9,2.5,1.0
296, Kendall Mountain – Silverton ,https://www.skiresort.info/ski-resort/kendall-mountain-silverton/,25.0,Silverton,Colorado,1.7,1.0,0.5,0.2
297, Blue Mountain ,https://www.skiresort.info/ski-resort/blue-mountain/,65.0,Allentown,Pennsylvania,18.0,10.0,6.0,2.0
298, Mt. Holiday ,https://www.skiresort.info/ski-resort/mt-holiday/,34.0,Traverse City,Michigan,4.5,1.0,2.0,1.5
299, Howelsen Hill – Steamboat Springs ,https://www.skiresort.info/ski-resort/howelsen-hill-steamboat-springs/,25.0,Steamboat Springs,Colorado,4.0,1.7,1.5,0.8
300, Sunburst ,https://www.skiresort.info/ski-resort/sunburst/,44.0,Kewaskum,Wisconsin,3.0,0.5,1.5,1.0
301, Mt. Jefferson ,https://www.skiresort.info/ski-resort/mt-jefferson/,25.0,Lee,Maine,9.5,3.0,4.0,2.5
302, Trollhaugen ,https://www.skiresort.info/ski-resort/trollhaugen/,54.0,Dresser,Wisconsin,4.9,2.5,1.5,0.9
303, Alpine Valley Ohio ,https://www.skiresort.info/ski-resort/alpine-valley-ohio/,45.0,Chesterland,Ohio,2.6,1.2,1.2,0.2
304, Echo Mountain Park – Idaho Springs ,https://www.skiresort.info/ski-resort/echo-mountain-park-idaho-springs/,65.0,Idaho Springs,Colorado,3.0,2.0,1.0,0.0
305, Hyland Hills ,https://www.skiresort.info/ski-resort/hyland-hills/,35.34,Bloomington,Minnesota,1.2,0.6,0.4,0.2
306, Elk Mountain ,https://www.skiresort.info/ski-resort/elk-mountain/,69.0,Scranton,Pennsylvania,15.0,3.0,8.0,4.0
307, Willard Mountain – Greenwich ,https://www.skiresort.info/ski-resort/willard-mountain-greenwich/,47.0,Greenwich,Capital-Saratoga Region,2.8,0.6,1.4,0.8
308, Christmas Mountain ,https://www.skiresort.info/ski-resort/christmas-mountain/,45.0,Wisconsin Dells,Wisconsin,2.0,1.3,0.5,0.2
309, Campton Mountain ,https://www.skiresort.info/ski-resort/campton-mountain/,22.0,Campton,New Hampshire,1.3,0.6,0.5,0.2
310, Mt. Abram ,https://www.skiresort.info/ski-resort/mt-abram/,49.0,N/A,Maine,14.5,3.5,7.0,4.0
311, Bald Mountain ,https://www.skiresort.info/ski-resort/bald-mountain/,20.0,Lewiston,Idaho,9.0,3.0,4.0,2.0
312, Snow Snake ,https://www.skiresort.info/ski-resort/snow-snake/,35.0,Harrison,Michigan,3.0,1.0,1.5,0.5
313, Tenney Mountain ,https://www.skiresort.info/ski-resort/tenney-mountain/,59.0,Plymouth,New Hampshire,15.0,3.0,8.0,4.0
314, Berkshire East ,https://www.skiresort.info/ski-resort/berkshire-east/,72.0,Greenfield,Massachusetts,13.0,6.0,4.0,3.0
315, Peek'n Peak ,https://www.skiresort.info/ski-resort/peekn-peak/,63.0,Clymer,Chautauqua-Allegheny,15.0,4.0,8.0,3.0
316, Heiliger Huegel – Hubertus ,https://www.skiresort.info/ski-resort/heiliger-huegel-hubertus/,N/A,Hubertus,Wisconsin,1.2,0.6,0.4,0.2
317, Detroit Mountain ,https://www.skiresort.info/ski-resort/detroit-mountain/,42.0,Detroit Lakes,Minnesota,2.0,1.0,1.0,0.0
318, Campgaw Mountain ,https://www.skiresort.info/ski-resort/campgaw-mountain/,45.0,Mahwah,New Jersey,1.3,1.0,0.3,0.0
319, Bluewood ,https://www.skiresort.info/ski-resort/bluewood/,47.0,Lewiston,Washington State,11.0,3.0,5.0,3.0
320, Hermon Mountain ,https://www.skiresort.info/ski-resort/hermon-mountain/,N/A,Bangor,Maine,3.0,2.0,0.5,0.5
321, The Balsams ,https://www.skiresort.info/ski-resort/the-balsams/,N/A,Colebrook,New Hampshire,12.6,3.4,4.0,5.2
322, Val Bialas Ski Center – Utica ,https://www.skiresort.info/ski-resort/val-bialas-ski-center-utica/,N/A,Utica,Central New York,1.8,0.8,0.4,0.6
323, Yawgoo Valley ,https://www.skiresort.info/ski-resort/yawgoo-valley/,50.0,Kingston,Rhode Island,2.5,1.5,1.0,0.0
324, Buffalo Ski Club ,https://www.skiresort.info/ski-resort/buffalo-ski-club/,50.0,Buffalo,Greater Niagara,11.0,5.0,4.0,2.0
325, Mount Ski Gull ,https://www.skiresort.info/ski-resort/mount-ski-gull/,39.99,Nisswa,Minnesota,2.1,0.7,0.7,0.7
326, Black Mountain – Jackson ,https://www.skiresort.info/ski-resort/black-mountain-jackson/,59.0,Jackson,New Hampshire,12.0,6.0,4.0,2.0
327, Big Tupper – Tupper Lake ,https://www.skiresort.info/ski-resort/big-tupper-tupper-lake/,N/A,Tupper Lake,The Adirondacks,12.0,5.0,5.0,2.0
328, Buck Hill Ski Area ,https://www.skiresort.info/ski-resort/buck-hill-ski-area/,47.0,Minneapolis,Minnesota,2.2,1.2,0.8,0.2
329, Ward Hill – Shrewsbury ,https://www.skiresort.info/ski-resort/ward-hill-shrewsbury/,55.0,Shrewsbury,Massachusetts,2.1,0.6,1.0,0.5
330, Devil's Head ,https://www.skiresort.info/ski-resort/devils-head/,65.0,Baraboo,Wisconsin,10.0,3.0,3.5,3.5
331, Jack Frost Mountain ,https://www.skiresort.info/ski-resort/jack-frost-mountain/,65.0,Blakeslee,Pennsylvania,12.0,6.0,5.5,0.5
332, Canaan Valley ,https://www.skiresort.info/ski-resort/canaan-valley/,78.0,Davis,West Virginia,10.0,3.0,4.0,3.0
333, Magic Mountain Resort ,https://www.skiresort.info/ski-resort/magic-mountain-resort/,33.0,Kimberly,Idaho,10.5,3.5,3.0,4.0
334, Porcupine Mountain ,https://www.skiresort.info/ski-resort/porcupine-mountain/,43.0,Ontonagon,Michigan,9.7,3.2,3.5,3.0
335, Woodbury  (temporarily closed) ,https://www.skiresort.info/ski-resort/woodbury/,N/A,Woodbury,Connecticut,9.6,3.5,3.5,2.6
336, Warner Canyon – Lakeview ,https://www.skiresort.info/ski-resort/warner-canyon-lakeview/,35.0,Lakeview,Oregon,9.9,2.4,1.6,5.9
337, The Whitecap Mountains ,https://www.skiresort.info/ski-resort/the-whitecap-mountains/,60.0,Upson,Wisconsin,9.0,4.0,2.0,3.0
338, Blackjack ,https://www.skiresort.info/ski-resort/blackjack/,65.0,Ironwood,Michigan,10.0,2.0,4.0,4.0
339, Snow Ridge ,https://www.skiresort.info/ski-resort/snow-ridge/,48.0,Turin,The Adirondacks,10.0,2.0,3.0,5.0
340, Indianhead Mountain ,https://www.skiresort.info/ski-resort/indianhead-mountain/,65.0,Wakefield,Michigan,10.0,2.0,3.0,5.0
341, Hidden Valley (PA) ,https://www.skiresort.info/ski-resort/hidden-valley-pa/,69.0,Somerset,Pennsylvania,9.0,4.0,3.0,2.0
342, Cloudcroft ,https://www.skiresort.info/ski-resort/cloudcroft/,45.0,Cloudcroft,New Mexico,10.0,4.0,2.0,4.0
343, Sunrise Park ,https://www.skiresort.info/ski-resort/sunrise-park/,74.0,Greer,Arizona,,,,
344, Oglebay Resort ,https://www.skiresort.info/ski-resort/oglebay-resort/,28.0,N/A,West Virginia,1.0,1.0,0.0,0.0
345, Bottineau Winter Park ,https://www.skiresort.info/ski-resort/bottineau-winter-park/,38.0,Bottineau,North Dakota,1.2,0.5,0.5,0.2
346, Denton Hill State Park  (temporarily closed) ,https://www.skiresort.info/ski-resort/denton-hill-state-park/,N/A,Coudersport,Pennsylvania,8.0,4.0,2.0,2.0
